score,sig,desc,a,lvl_a,b,lvl_b
1.000,1.000,1.000,Shield,1,Shield,1
1.000,1.000,1.000,Shield,1,Shield,1
1.000,1.000,1.000,Shield,1,Shield,1
0.948,0.914,1.000,Darkness,2,Eyes of the Dark: Darkness,2
0.908,0.963,0.826,Dominate Beast,4,Dominate Person,5
0.892,0.932,0.833,Cure Wounds,1,Healing Word,1
0.887,0.952,0.789,Hold Monster,5,Hold Person,2
0.886,0.925,0.828,Invisibility,2,Greater Invisibility,4
0.829,0.810,0.857,Barkskin,2,Shield of Faith,1
0.824,0.930,0.667,Prayer of Healing,2,Healing Word,1
0.814,0.857,0.750,Barkskin,2,Mage Armour,1
0.771,0.773,0.769,Bane,1,Bless,1
0.767,0.944,0.500,Prayer of Healing,2,Cure Wounds,1
0.758,0.800,0.696,Mage Armour,1,Shield of Faith,1
0.743,0.857,0.571,Enhance Leap,1,Longstrider,1
0.741,0.959,0.414,Lightning Bolt,3,Thunderwave,1
0.741,0.810,0.636,Blur,2,Dispel Evil And Good,5
0.732,0.897,0.483,Grease,1,Web,2
0.726,0.810,0.600,Sleep,1,Colour Spray,1
0.723,0.974,0.345,Wall of Fire,4,Wall of Ice,6
0.716,0.971,0.333,Mass Healing Word,3,Prayer of Healing,2
0.713,0.876,0.467,Dispel Evil And Good,5,Protection from Evil and Good,1
0.710,0.917,0.400,Mass Healing Word,3,Mass Cure Wounds,5
0.709,0.895,0.429,Fire Bolt,0,Scorching Ray,2
0.700,0.853,0.471,Blade Ward,0,Stoneskin,4
0.694,0.935,0.333,Wall of Fire,4,Wall of Thorns,6
0.693,0.877,0.417,Wall of Ice,6,Wall of Stone,5
0.690,0.904,0.368,Protection from Energy,3,Stoneskin,4
0.688,0.833,0.471,Aid,2,Mass Healing Word,3
0.688,0.825,0.483,Protection from Poison,2,Remove Curse,3
0.688,0.941,0.308,Conjure Elemental,5,Conjure Minor Elemental,4
0.687,0.889,0.385,Greater Restoration,5,Remove Curse,3
0.685,0.936,0.308,Branding Smite,2,Staggering Smite,4
0.684,0.901,0.357,Protection from Energy,3,Remove Curse,3
0.683,0.880,0.387,Bless,1,Resistance,0
0.679,0.930,0.303,Misty Step,2,Dimension Door,4
0.679,0.909,0.333,Entangle,1,Grease,1
0.677,0.962,0.250,Animal Friendship,1,Charm Person,1
0.675,0.812,0.471,Thaumaturgy,0,Friends,0
0.670,0.831,0.429,Globe of Invulnerability,6,Silence,2
0.670,0.895,0.333,Heroism,1,Resistance,0
0.667,0.904,0.312,Fireball,3,Lightning Bolt,3
0.667,0.915,0.294,Wrathful Smite,1,Staggering Smite,4
0.666,0.895,0.323,Haste,3,Heroism,1
0.666,0.952,0.235,Acid Splash,0,Poison Spray,0
0.665,0.935,0.261,Entangle,1,Stinking Cloud,3
0.665,0.879,0.345,Lightning Bolt,3,Sunbeam,6
0.663,0.892,0.320,Guidance,0,Resistance,0
0.662,0.914,0.286,Blade Barrier,6,Wall of Fire,4
0.661,0.880,0.333,Evard's Black Tentacles,4,Plant Growth,3
0.660,0.789,0.467,Divine Favour,1,Hex,1
0.660,0.886,0.320,Evard's Black Tentacles,4,Fog Cloud,1
0.658,0.895,0.303,Flame Strike,5,Lightning Bolt,3
0.658,0.907,0.286,Grant Flight,3,Haste,3
0.658,0.937,0.240,Entangle,1,Web,2
0.658,0.816,0.421,Divine Favour,1,Hellish Rebuke,1
0.657,0.894,0.300,Flame Strike,5,Ice Storm,4
0.655,0.952,0.211,Acid Splash,0,Sacred Flame,0
0.655,0.901,0.286,Wall of Fire,4,Wall of Stone,5
0.654,0.892,0.296,Enhance Ability,2,Grant Flight,3
0.653,0.849,0.359,Otiluke's Freezing Sphere,6,Wall of Ice,6
0.652,0.905,0.273,Acid Splash,0,Vicious Mockery,0
0.649,0.600,0.722,Dissonant Whispers,1,Wrathful Smite,1
0.649,0.943,0.207,Phantasmal Force,2,Phantasmal Killer,4
0.649,0.795,0.429,Conjure Minor Elemental,4,Conjure Woodland Being,4
0.648,0.946,0.200,Cure Wounds,1,Mass Cure Wounds,5
0.647,0.849,0.343,Bless,1,Elemental Weapon,3
0.646,0.933,0.214,Branding Smite,2,Searing Smite,1
0.645,0.878,0.296,Bane,1,Blindness,2
0.644,0.907,0.250,Darkvision,2,Longstrider,1
0.644,0.863,0.316,Animal Friendship,1,Bane,1
0.643,0.861,0.316,Elemental Weapon,3,Resistance,0
0.643,0.861,0.316,Wall of Stone,5,Wall of Thorns,6
0.643,0.703,0.552,Crusader's Mantle,3,Divine Favour,1
0.641,0.958,0.167,Mass Healing Word,3,Healing Word,1
0.641,0.810,0.387,Protection from Energy,3,Protection from Poison,2
0.641,0.862,0.308,Sunbeam,6,Thunderwave,1
0.640,0.704,0.545,Dissonant Whispers,1,Fear,3
0.640,0.892,0.263,Blade Barrier,6,Wall of Ice,6
0.639,0.826,0.359,Phantasmal Killer,4,Fear,3
0.639,0.932,0.200,Mass Cure Wounds,5,Healing Word,1
0.638,0.882,0.273,Greater Restoration,5,Lesser Restoration,2
0.638,0.882,0.270,Circle of Death,6,Cone of Cold,5
0.637,0.762,0.450,Dissonant Whispers,1,Phantasmal Killer,4
0.637,0.900,0.242,Shatter,2,Thunderwave,1
0.636,0.772,0.432,Flame Blade,2,Shadow Blade,2
0.636,0.882,0.267,Disguise Self,1,Seeming,5
0.636,0.830,0.345,Blindness,2,Faerie Fire,1
0.636,0.911,0.222,Wall of Ice,6,Wall of Thorns,6
0.635,0.800,0.387,Destructive Wave,5,Thunderwave,1
0.633,0.845,0.316,Healing Word,1,Misty Step,2
0.633,0.889,0.250,Protection from Energy,3,Resistance,0
0.632,0.925,0.194,Evard's Black Tentacles,4,Web,2
0.632,0.831,0.333,Darkness,2,Fog Cloud,1
0.631,0.886,0.250,Speak with Animals,1,Thaumaturgy,0
0.630,0.889,0.242,Bane,1,Slow,3
0.630,0.872,0.267,Evard's Black Tentacles,4,Grease,1
0.629,0.838,0.316,Speak with Animals,1,Grant Flight,3
0.629,0.876,0.258,Cone of Cold,5,Thunderwave,1
0.629,0.937,0.167,Fog Cloud,1,Web,2
0.628,0.885,0.242,Fireball,3,Flame Strike,5
0.627,0.911,0.200,Wind Walk,6,Gaseous Form,3
0.627,0.892,0.229,Haste,3,Resistance,0
0.624,0.926,0.171,Circle of Death,6,Lightning Bolt,3
0.624,0.907,0.200,Branding Smite,2,Wrathful Smite,1
0.624,0.883,0.235,Fireball,3,Cone of Cold,5
0.624,0.944,0.143,Poison Spray,0,Sacred Flame,0
0.623,0.830,0.312,Circle of Death,6,Sunbeam,6
0.622,0.877,0.240,Enhance Ability,2,Guidance,0
0.621,0.789,0.370,Enhance Ability,2,Friends,0
0.621,0.762,0.410,Elemental Weapon,3,Magic Weapon,2
0.621,0.853,0.273,Bless,1,Guidance,0
0.621,0.930,0.158,Elemental Weapon,3,Enhance Ability,2
0.620,0.886,0.222,Elemental Weapon,3,Protection from Energy,3
0.620,0.880,0.231,Darkvision,2,Grant Flight,3
0.620,0.935,0.148,Bless,1,Heroism,1
0.620,0.875,0.238,Disintegrate,6,Circle of Death,6
0.620,0.861,0.258,Darkvision,2,Protection from Energy,3
0.620,0.876,0.235,Command,1,Hold Monster,5
0.619,0.907,0.188,Circle of Death,6,Thunderwave,1
0.619,0.846,0.279,Gaseous Form,3,Haste,3
0.619,0.907,0.188,Bless,1,Haste,3
0.619,0.857,0.261,Fog Cloud,1,Grease,1
0.619,0.906,0.188,Searing Smite,1,Staggering Smite,4
0.618,0.877,0.231,Barkskin,2,Protection from Energy,3
0.618,0.909,0.182,Fog Cloud,1,Stinking Cloud,3
0.618,0.839,0.286,Flame Strike,5,Cone of Cold,5
0.618,0.918,0.167,Shatter,2,Lightning Bolt,3
0.617,0.872,0.235,Cure Wounds,1,Heal,6
0.617,0.828,0.300,Blinding Smite,3,Branding Smite,2
0.617,0.880,0.222,Barkskin,2,Darkvision,2
0.617,0.880,0.222,Grant Flight,3,Guidance,0
0.617,0.917,0.167,Mass Healing Word,3,Cure Wounds,1
0.616,0.849,0.267,Remove Curse,3,Resistance,0
0.616,0.865,0.242,Bane,1,Confusion,4
0.616,0.796,0.345,Scorching Ray,2,Witch Bolt,1
0.615,0.872,0.231,Detect Thoughts,2,See Invisibility,2
0.615,0.917,0.162,Darkvision,2,Elemental Weapon,3
0.614,0.842,0.273,Darkvision,2,Enhance Leap,1
0.614,0.902,0.182,Blade Barrier,6,Wall of Thorns,6
0.614,0.886,0.207,Elemental Weapon,3,Seeming,5
0.614,0.883,0.211,Darkvision,2,Death Ward,4
0.614,0.970,0.080,Animate Dead,3,Conjure Elemental,5
0.614,0.821,0.303,Barkskin,2,Death Ward,4
0.613,0.800,0.333,Thaumaturgy,0,Enhance Ability,2
0.613,0.971,0.077,Conjure Elemental,5,Planar Ally,6
0.613,0.860,0.242,Blindness,2,Hold Monster,5
0.613,0.873,0.222,Otiluke's Freezing Sphere,6,Wall of Fire,4
0.612,0.880,0.211,Barkskin,2,Guidance,0
0.612,0.853,0.250,Enlarge/Reduce,2,Protection from Energy,3
0.612,0.871,0.222,Blindness,2,Tasha's Hideous Laughter,1
0.611,0.958,0.091,Conjure Minor Elemental,4,Find Familiar,1
0.611,0.861,0.235,Aid,2,Prayer of Healing,2
0.610,0.845,0.258,Stoneskin,4,Wall of Stone,5
0.610,0.880,0.205,Darkvision,2,Stoneskin,4
0.610,0.876,0.211,Animal Friendship,1,Tasha's Hideous Laughter,1
0.610,0.811,0.308,Guiding Bolt,1,Ray of Sickness,1
0.610,0.879,0.207,Animal Friendship,1,Crown of Madness,2
0.610,0.861,0.233,Elemental Weapon,3,Hex,1
0.610,0.846,0.255,Bestow Curse,3,Phantasmal Killer,4
0.609,0.838,0.267,Seeming,5,Colour Spray,1
0.609,0.816,0.300,Animal Friendship,1,Compelled Duel,1
0.609,0.833,0.273,Lesser Restoration,2,Remove Curse,3
0.608,0.857,0.235,Barkskin,2,Enhance Leap,1
0.608,0.814,0.300,Entangle,1,Grasping Vine,4
0.608,0.817,0.294,Destructive Wave,5,Lightning Bolt,3
0.608,0.861,0.229,Grant Flight,3,Gaseous Form,3
0.608,0.865,0.222,Remove Curse,3,Stoneskin,4
0.608,0.846,0.250,Bestow Curse,3,Command,1
0.607,0.780,0.348,Bless,1,Warding Bond,2
0.607,0.891,0.182,Bane,1,Bestow Curse,3
