spell,level,school,type,family,tier,purpose,container_variants,classes
Acid Splash,0,Conjuration,Projectile,The Damage Cantrip Engine,Shared engine,Damage,,Fighter/Rogue/Sorcerer/Wizard
Blade Ward,0,Abjuration,Shout,The Protection Rack,Shared template,Defense boost,,Bard/Cleric/Fighter/Rogue/Sorcerer/Warlock/Wizard
Bone Chill,0,Necromancy,Target,The Damage Cantrip Engine,Shared engine,Damage,,Bard/Cleric/Druid/Fighter/Rogue/Sorcerer/Warlock/Wizard
Booming Blade,0,Evocation,Target,The Damage Cantrip Engine,Shared engine,Damage,,Fighter/Rogue/Sorcerer/Warlock/Wizard
Bursting Sinew,0,Necromancy,Target,,,Damage,,Cleric/Fighter/Rogue/Sorcerer/Wizard
Dancing Lights,0,Evocation,Target,,,Utility & world,,Bard/Fighter/Rogue/Sorcerer/Wizard
Eldritch Blast,0,Evocation,Projectile,The Damage Cantrip Engine,Shared engine,Damage,,Bard/Warlock
Fire Bolt,0,Evocation,Projectile,The Damage Cantrip Engine,Shared engine,Damage,,Bard/Fighter/Rogue/Sorcerer/Wizard
Friends,0,Enchantment,Target,The Fieldcraft Kit,Shared engine,Utility & world,,Bard/Fighter/Rogue/Sorcerer/Warlock/Wizard
Guidance,0,Divination,Target,Guidance & Resistance,Shared engine,Offense boost,,Cleric/Druid
Light,0,Evocation,Target,,,Utility & world,,Bard/Cleric/Fighter/Rogue/Sorcerer/Wizard
Mage Hand,0,Conjuration,Target,,,Creating entities,,Bard/Fighter/Rogue/Sorcerer/Warlock/Wizard
Minor Illusion,0,Illusion,Target,,,Creating entities,,Bard/Fighter/Rogue/Sorcerer/Warlock/Wizard
Poison Spray,0,Conjuration,Projectile,The Damage Cantrip Engine,Shared engine,Damage,,Cleric/Druid/Fighter/Rogue/Sorcerer/Warlock/Wizard
Produce Flame,0,Conjuration,Shout,The Damage Cantrip Engine,Shared engine,Damage,,Cleric/Druid
Ray of Frost,0,Evocation,Projectile,The Damage Cantrip Engine,Shared engine,Damage,,Bard/Fighter/Rogue/Sorcerer/Wizard
Resistance,0,Abjuration,Target,Guidance & Resistance,Shared engine,Offense boost,,Cleric/Druid
Sacred Flame,0,Evocation,Target,The Damage Cantrip Engine,Shared engine,Damage,,Bard/Cleric
Shillelagh,0,Transmutation,Shout,,,Offense boost,,Cleric/Druid
Shocking Grasp,0,Evocation,Target,The Damage Cantrip Engine,Shared engine,Damage,,Fighter/Rogue/Sorcerer/Wizard
Thaumaturgy,0,Transmutation,Shout,,,Utility & world,,Cleric
Thorn Whip,0,Transmutation,Target,The Damage Cantrip Engine,Shared engine,Damage,,Cleric/Druid
Toll the Dead,0,Necromancy,Target,The Damage Cantrip Engine,Shared engine,Damage,,Cleric/Fighter/Rogue/Warlock/Wizard
True Strike,0,Divination,Target,,,Offense boost,,Bard/Fighter/Rogue/Sorcerer/Warlock/Wizard
Vicious Mockery,0,Enchantment,Target,The Damage Cantrip Engine,Shared engine,Damage,,Bard
Animal Friendship,1,Enchantment,Target,The Charm Pair,Verbatim clone,Disables,,Bard/Cleric/Druid/Ranger
Armour of Agathys,1,Abjuration,Shout,The Temp-HP Ledger,Shared engine,Defense boost,,Bard/Warlock
Arms of Hadar,1,Conjuration,Shout,,,Damage,,Warlock
Bane,1,Enchantment,Target,Bane & Bless,Verbatim clone,Offense boost,,Bard/Cleric
Bless,1,Enchantment,Target,Bane & Bless,Verbatim clone,Offense boost,,Bard/Cleric/Paladin
Burning Hands,1,Evocation,Zone,The Elemental Blast Template,Shared template,Damage,,Cleric/Fighter/Rogue/Sorcerer/Wizard
Charm Person,1,Enchantment,Target,The Charm Pair,Verbatim clone,Disables,,Bard/Cleric/Druid/Fighter/Rogue/Sorcerer/Warlock/Wizard
Chromatic Orb,1,Evocation,Projectile,The Bolt Rack,Shared template,Damage,6,Bard/Fighter/Rogue/Sorcerer/Wizard
Colour Spray,1,Illusion,Zone,The Hit-Point Pool Engine,Shared template,Disables,,Fighter/Rogue/Sorcerer/Wizard
Command,1,Enchantment,Target,The Control Ward,Shared template,Disables,5,Bard/Cleric/Paladin
Compelled Duel,1,Enchantment,Target,,,Threat control,,Paladin
Create or Destroy Water,1,Transmutation,Target,The Commissary,Shared template,Provisioning,2,Cleric/Druid/Sorcerer
Cure Wounds,1,Evocation,Target,The Cure Family,Verbatim clone,Healing & revival,,Bard/Cleric/Druid/Paladin/Ranger
Disguise Self,1,Illusion,Shout,The Fieldcraft Kit,Shared engine,Utility & world,32,Bard/Cleric/Fighter/Ranger/Rogue/Sorcerer/Wizard
Dissonant Whispers,1,Enchantment,Target,The Control Ward,Shared template,Disables,,Bard
