game,ability,purpose,assigned_by,family
D&D 5e SRD,Acid Arrow,defboost,rule,
D&D 5e SRD,Acid Splash,damage,family,The Damage Cantrip Engine
D&D 5e SRD,Aid,defboost,override,
D&D 5e SRD,Alarm,info,override,
D&D 5e SRD,Alter Self,roleshift,rule,
D&D 5e SRD,Animal Friendship,disable,rule,
D&D 5e SRD,Animal Messenger,defboost,rule,
D&D 5e SRD,Animal Shapes,disable,family,The Polymorph Ladder
D&D 5e SRD,Animate Dead,create,family,The Undead Workshop
D&D 5e SRD,Animate Objects,disable,rule,
D&D 5e SRD,Antilife Shell,zone,rule,
D&D 5e SRD,Antimagic Field,negation,rule,
D&D 5e SRD,Antipathy/Sympathy,utility,fallback,
D&D 5e SRD,Arcane Eye,zone,rule,
D&D 5e SRD,Arcane Hand,create,family,The Phantom Armory
D&D 5e SRD,Arcane Lock,negation,rule,
D&D 5e SRD,Arcane Sword,create,family,The Phantom Armory
D&D 5e SRD,Arcanist's Magic Aura,negation,rule,
D&D 5e SRD,Astral Projection,negation,rule,
D&D 5e SRD,Augury,info,rule,
D&D 5e SRD,Awaken,disable,rule,
D&D 5e SRD,Bane,offboost,family,Bane & Bless
D&D 5e SRD,Banishment,remove,override,
D&D 5e SRD,Barkskin,defboost,rule,
D&D 5e SRD,Beacon of Hope,heal,rule,
D&D 5e SRD,Bestow Curse,negation,rule,
D&D 5e SRD,Black Tentacles,disable,rule,
D&D 5e SRD,Blade Barrier,zone,rule,
D&D 5e SRD,Bless,offboost,family,Bane & Bless
D&D 5e SRD,Blight,damage,rule,
D&D 5e SRD,Blindness/Deafness,disable,rule,
D&D 5e SRD,Blink,mobility,override,
D&D 5e SRD,Blur,degrade,rule,
D&D 5e SRD,Branding Smite,stealth,rule,
D&D 5e SRD,Burning Hands,damage,family,The Elemental Blast Template
D&D 5e SRD,Call Lightning,damage,rule,
D&D 5e SRD,Calm Emotions,disable,rule,
D&D 5e SRD,Chain Lightning,mobility,rule,
D&D 5e SRD,Charm Person,disable,rule,
D&D 5e SRD,Chill Touch,damage,family,The Damage Cantrip Engine
D&D 5e SRD,Circle of Death,damage,family,The Elemental Blast Template
D&D 5e SRD,Clairvoyance,create,rule,
D&D 5e SRD,Clone,stealth,rule,
D&D 5e SRD,Cloudkill,damage,rule,
D&D 5e SRD,Color Spray,disable,family,The Hit-Point Pool Engine
D&D 5e SRD,Command,disable,rule,
D&D 5e SRD,Commune,stealth,rule,
D&D 5e SRD,Commune With Nature,info,rule,
D&D 5e SRD,Comprehend Languages,info,rule,
D&D 5e SRD,Compulsion,disable,rule,
D&D 5e SRD,Cone of Cold,damage,family,The Elemental Blast Template
D&D 5e SRD,Confusion,utility,fallback,
D&D 5e SRD,Conjure Animals,create,family,Conjure by Menu
D&D 5e SRD,Conjure Celestial,create,family,Conjure a Champion
D&D 5e SRD,Conjure Elemental,create,family,Conjure a Champion
D&D 5e SRD,Conjure Fey,create,family,Conjure a Champion
D&D 5e SRD,Conjure Minor Elementals,create,family,Conjure by Menu
D&D 5e SRD,Conjure Woodland Beings,create,family,Conjure by Menu
D&D 5e SRD,Contact Other Plane,stealth,rule,
D&D 5e SRD,Contagion,disable,rule,
D&D 5e SRD,Contingency,degrade,rule,
D&D 5e SRD,Continual Flame,utility,fallback,
D&D 5e SRD,Control Water,defboost,rule,
D&D 5e SRD,Control Weather,utility,fallback,
D&D 5e SRD,Counterspell,negation,override,The Dispel Engine
D&D 5e SRD,Create Food and Water,provision,rule,
D&D 5e SRD,Create Undead,create,family,The Undead Workshop
D&D 5e SRD,Create or Destroy Water,provision,rule,
D&D 5e SRD,Creation,utility,fallback,
D&D 5e SRD,Cure Wounds,heal,family,The Cure Family
D&D 5e SRD,Dancing Lights,utility,override,
D&D 5e SRD,Darkness,zone,family,Darkness & Daylight
D&D 5e SRD,Darkvision,mobility,family,The Touch-Buff Skeleton
D&D 5e SRD,Daylight,zone,family,Darkness & Daylight
D&D 5e SRD,Death Ward,defboost,rule,
D&D 5e SRD,Delayed Blast Fireball,damage,rule,
D&D 5e SRD,Demiplane,utility,fallback,
D&D 5e SRD,Detect Evil and Good,info,family,The Detect Series
D&D 5e SRD,Detect Magic,info,family,The Detect Series
D&D 5e SRD,Detect Poison and Disease,info,family,The Detect Series
D&D 5e SRD,Detect Thoughts,zone,rule,
D&D 5e SRD,Dimension Door,mobility,rule,
D&D 5e SRD,Disguise Self,stealth,family,The Disguise Ladder
D&D 5e SRD,Disintegrate,heal,rule,
D&D 5e SRD,Dispel Evil and Good,negation,rule,
D&D 5e SRD,Dispel Magic,negation,override,The Dispel Engine
D&D 5e SRD,Divination,info,rule,
D&D 5e SRD,Divine Favor,offboost,rule,
D&D 5e SRD,Divine Word,disable,rule,
D&D 5e SRD,Dominate Beast,disable,family,The Dominate Chain
D&D 5e SRD,Dominate Monster,disable,family,The Dominate Chain
D&D 5e SRD,Dominate Person,disable,family,The Dominate Chain
D&D 5e SRD,Dream,disable,rule,
D&D 5e SRD,Druidcraft,degrade,rule,
D&D 5e SRD,Earthquake,disable,rule,
D&D 5e SRD,Eldritch Blast,damage,override,The Damage Cantrip Engine
D&D 5e SRD,Enhance Ability,disable,rule,
D&D 5e SRD,Enlarge/Reduce,damage,rule,
D&D 5e SRD,Entangle,zone,rule,
D&D 5e SRD,Enthrall,disable,rule,
D&D 5e SRD,Etherealness,damage,rule,
D&D 5e SRD,Expeditious Retreat,mobility,rule,
D&D 5e SRD,Eyebite,disable,rule,
D&D 5e SRD,Fabricate,roleshift,rule,
D&D 5e SRD,Faerie Fire,stealth,rule,
D&D 5e SRD,Faithful Hound,create,family,The Phantom Armory
D&D 5e SRD,False Life,utility,fallback,
D&D 5e SRD,Fear,disable,override,
D&D 5e SRD,Feather Fall,disable,rule,
D&D 5e SRD,Feeblemind,info,rule,
