similarity,spell_a,lvl_a,spell_b,lvl_b,classes_a,classes_b
1.000,Dominate Beast,4,Dominate Monster,8,Druid/Sorcerer,Bard/Sorcerer/Warlock/Wizard
0.966,Conjure Minor Elementals,4,Conjure Woodland Beings,4,Druid/Wizard,Druid/Ranger
0.933,Conjure Animals,3,Conjure Woodland Beings,4,Druid/Ranger,Druid/Ranger
0.931,Dominate Beast,4,Dominate Person,5,Druid/Sorcerer,Bard/Sorcerer/Wizard
0.931,Dominate Monster,8,Dominate Person,5,Bard/Sorcerer/Warlock/Wizard,Bard/Sorcerer/Wizard
0.931,Conjure Animals,3,Conjure Minor Elementals,4,Druid/Ranger,Druid/Wizard
0.907,Guidance,0,Resistance,0,Cleric/Druid,Cleric/Druid
0.895,Healing Word,1,Prayer of Healing,2,Bard/Cleric/Druid,Cleric
0.895,Mass Healing Word,3,Prayer of Healing,2,Cleric,Cleric
0.878,Cure Wounds,1,Healing Word,1,Bard/Cleric/Druid/Paladin/Ranger,Bard/Cleric/Druid
0.857,Bane,1,Bless,1,Bard/Cleric,Cleric/Paladin
0.847,Healing Word,1,Mass Healing Word,3,Bard/Cleric/Druid,Cleric
0.815,Mass Suggestion,6,Suggestion,2,Bard/Sorcerer/Warlock/Wizard,Bard/Sorcerer/Warlock/Wizard
0.814,Conjure Elemental,5,Conjure Fey,6,Druid/Wizard,Druid/Warlock
0.772,Cure Wounds,1,Prayer of Healing,2,Bard/Cleric/Druid/Paladin/Ranger,Cleric
0.764,Color Spray,1,Sleep,1,Sorcerer/Wizard,Bard/Sorcerer/Wizard
0.748,Cure Wounds,1,Mass Healing Word,3,Bard/Cleric/Druid/Paladin/Ranger,Cleric
0.743,Circle of Death,6,Flame Strike,5,Sorcerer/Warlock/Wizard,Cleric
0.738,Healing Word,1,Mass Cure Wounds,5,Bard/Cleric/Druid,Bard/Cleric/Druid
0.734,Conjure Celestial,7,Conjure Fey,6,Cleric,Druid/Warlock
0.733,Flame Strike,5,Ice Storm,4,Cleric,Druid/Sorcerer/Wizard
0.730,Circle of Death,6,Cone of Cold,5,Sorcerer/Warlock/Wizard,Sorcerer/Wizard
0.722,Burning Hands,1,Lightning Bolt,3,Sorcerer/Wizard,Sorcerer/Wizard
0.722,Circle of Death,6,Ice Storm,4,Sorcerer/Warlock/Wizard,Druid/Sorcerer/Wizard
0.721,Fireball,3,Lightning Bolt,3,Sorcerer/Wizard,Sorcerer/Wizard
0.720,Blindness/Deafness,2,Hold Person,2,Bard/Cleric/Sorcerer/Wizard,Bard/Cleric/Druid/Sorcerer/Warlock/Wizard
0.712,Animate Dead,3,Create Undead,6,Cleric/Wizard,Cleric/Warlock/Wizard
0.711,Major Image,3,Silent Image,1,Bard/Sorcerer/Warlock/Wizard,Bard/Sorcerer/Wizard
