class,level,spell,school,concentration,ritual
Bard,0,Dancing Lights,Evocation,True,False
Bard,0,Light,Evocation,False,False
Bard,0,Mage Hand,Conjuration,False,False
Bard,0,Mending,Transmutation,False,False
Bard,0,Message,Transmutation,False,False
Bard,0,Minor Illusion,Illusion,False,False
Bard,0,Prestidigitation,Transmutation,False,False
Bard,0,True Strike,Divination,True,False
Bard,0,Vicious Mockery,Enchantment,False,False
Bard,1,Animal Friendship,Enchantment,False,False
Bard,1,Bane,Enchantment,True,False
Bard,1,Charm Person,Enchantment,False,False
Bard,1,Comprehend Languages,Divination,False,True
Bard,1,Cure Wounds,Evocation,False,False
Bard,1,Detect Magic,Divination,True,True
Bard,1,Disguise Self,Illusion,False,False
Bard,1,Feather Fall,Transmutation,False,False
Bard,1,Healing Word,Evocation,False,False
Bard,1,Heroism,Enchantment,True,False
Bard,1,Hideous Laughter,Enchantment,True,False
Bard,1,Identify,Divination,False,True
Bard,1,Illusory Script,Illusion,False,True
Bard,1,Longstrider,Transmutation,False,False
Bard,1,Silent Image,Illusion,True,False
Bard,1,Sleep,Enchantment,False,False
Bard,1,Speak with Animals,Divination,False,True
Bard,1,Thunderwave,Evocation,False,False
Bard,1,Unseen Servant,Conjuration,False,True
Bard,2,Animal Messenger,Enchantment,False,True
Bard,2,Blindness/Deafness,Necromancy,False,False
Bard,2,Calm Emotions,Enchantment,True,False
Bard,2,Detect Thoughts,Divination,True,False
Bard,2,Enhance Ability,Transmutation,True,False
Bard,2,Enthrall,Enchantment,False,False
Bard,2,Heat Metal,Transmutation,True,False
Bard,2,Hold Person,Enchantment,True,False
Bard,2,Invisibility,Illusion,True,False
Bard,2,Knock,Transmutation,False,False
Bard,2,Lesser Restoration,Abjuration,False,False
Bard,2,Locate Animals or Plants,Divination,False,True
Bard,2,Locate Object,Divination,True,False
Bard,2,Magic Mouth,Illusion,False,True
Bard,2,See Invisibility,Divination,False,False
Bard,2,Shatter,Evocation,False,False
Bard,2,Silence,Illusion,True,True
Bard,2,Suggestion,Enchantment,True,False
Bard,2,Zone of Truth,Enchantment,False,False
Bard,3,Bestow Curse,Necromancy,True,False
Bard,3,Clairvoyance,Divination,True,False
Bard,3,Dispel Magic,Abjuration,False,False
Bard,3,Fear,Illusion,True,False
Bard,3,Glyph of Warding,Abjuration,False,False
Bard,3,Hypnotic Pattern,Illusion,True,False
Bard,3,Major Image,Illusion,True,False
Bard,3,Nondetection,Abjuration,False,False
Bard,3,Plant Growth,Transmutation,False,False
Bard,3,Sending,Evocation,False,False
Bard,3,Speak with Dead,Necromancy,False,False
Bard,3,Speak with Plants,Transmutation,False,False
Bard,3,Stinking Cloud,Conjuration,True,False
Bard,3,Tiny Hut,Evocation,False,True
Bard,3,Tongues,Divination,False,False
Bard,4,Compulsion,Enchantment,True,False
Bard,4,Confusion,Enchantment,True,False
Bard,4,Dimension Door,Conjuration,False,False
Bard,4,Freedom of Movement,Abjuration,False,False
Bard,4,Greater Invisibility,Illusion,True,False
Bard,4,Hallucinatory Terrain,Illusion,False,False
Bard,4,Locate Creature,Divination,True,False
Bard,4,Polymorph,Transmutation,True,False
Bard,5,Animate Objects,Transmutation,True,False
Bard,5,Awaken,Transmutation,False,False
Bard,5,Dominate Person,Enchantment,True,False
Bard,5,Dream,Illusion,False,False
Bard,5,Geas,Enchantment,False,False
Bard,5,Greater Restoration,Abjuration,False,False
Bard,5,Hold Monster,Enchantment,True,False
Bard,5,Legend Lore,Divination,False,False
Bard,5,Mass Cure Wounds,Conjuration,False,False
Bard,5,Mislead,Illusion,True,False
Bard,5,Modify Memory,Enchantment,True,False
Bard,5,Planar Binding,Abjuration,False,False
Bard,5,Raise Dead,Necromancy,False,False
Bard,5,Scrying,Divination,True,False
Bard,5,Seeming,Illusion,False,False
Bard,5,Teleportation Circle,Conjuration,False,False
Bard,6,Eyebite,Necromancy,True,False
Bard,6,Find the Path,Divination,True,False
Bard,6,Guards and Wards,Abjuration,False,False
Bard,6,Irresistible Dance,Enchantment,True,False
Bard,6,Mass Suggestion,Enchantment,False,False
Bard,6,Programmed Illusion,Illusion,False,False
Bard,6,True Seeing,Divination,False,False
Bard,7,Arcane Sword,Evocation,True,False
Bard,7,Etherealness,Transmutation,False,False
Bard,7,Forcecage,Evocation,False,False
Bard,7,Magnificent Mansion,Conjuration,False,False
Bard,7,Mirage Arcane,Illusion,False,False
Bard,7,Project Image,Illusion,True,False
Bard,7,Regenerate,Transmutation,False,False
Bard,7,Resurrection,Necromancy,False,False
Bard,7,Symbol,Abjuration,False,False
Bard,7,Teleport,Conjuration,False,False
Bard,8,Dominate Monster,Enchantment,True,False
