spell,level,school,family,family_icon,tier,purpose,classes,in_bg3
Acid Splash,0,Conjuration,The Damage Cantrip Engine,🪄,Shared engine,Damage,Sorcerer/Wizard,yes
Chill Touch,0,Necromancy,The Damage Cantrip Engine,🪄,Shared engine,Damage,Sorcerer/Warlock/Wizard,yes
Dancing Lights,0,Evocation,,,,Utility & world,Bard/Sorcerer/Wizard,yes
Druidcraft,0,Transmutation,,,,Degradation,Druid,
Eldritch Blast,0,Evocation,The Damage Cantrip Engine,🪄,Shared engine,Damage,Warlock,yes
Fire Bolt,0,Evocation,The Damage Cantrip Engine,🪄,Shared engine,Damage,Sorcerer/Wizard,yes
Guidance,0,Divination,Guidance & Resistance,🎲,Verbatim clone,Offense boost,Cleric/Druid,yes
Light,0,Evocation,,,,Utility & world,Bard/Cleric/Sorcerer/Wizard,yes
Mage Hand,0,Conjuration,,,,Deception & stealth,Bard/Sorcerer/Warlock/Wizard,yes
Mending,0,Transmutation,,,,Damage,Bard/Cleric/Druid/Sorcerer/Wizard,yes
Message,0,Transmutation,,,,Zone control,Bard/Sorcerer/Wizard,
Minor Illusion,0,Illusion,,,,Deception & stealth,Bard/Sorcerer/Warlock/Wizard,yes
Poison Spray,0,Conjuration,The Damage Cantrip Engine,🪄,Shared engine,Damage,Druid/Sorcerer/Warlock/Wizard,yes
Prestidigitation,0,Transmutation,,,,Utility & world,Bard/Sorcerer/Warlock/Wizard,
Produce Flame,0,Conjuration,,,,Damage,Druid,yes
Ray of Frost,0,Evocation,The Damage Cantrip Engine,🪄,Shared engine,Damage,Sorcerer/Wizard,yes
Resistance,0,Abjuration,Guidance & Resistance,🎲,Verbatim clone,Offense boost,Cleric/Druid,yes
Sacred Flame,0,Evocation,The Damage Cantrip Engine,🪄,Shared engine,Damage,Cleric,yes
Shillelagh,0,Transmutation,,,,Offense boost,Druid,yes
Shocking Grasp,0,Evocation,The Damage Cantrip Engine,🪄,Shared engine,Damage,Sorcerer/Wizard,yes
Spare the Dying,0,Necromancy,,,,Healing & revival,Cleric,
Thaumaturgy,0,Transmutation,,,,Utility & world,Cleric,yes
True Strike,0,Divination,,,,Utility & world,Bard/Sorcerer/Warlock/Wizard,yes
Vicious Mockery,0,Enchantment,,,,Damage,Bard,yes
Alarm,1,Abjuration,,,,Information,Ranger/Wizard,
Animal Friendship,1,Enchantment,,,,Disables,Bard/Druid/Ranger,yes
Bane,1,Enchantment,Bane & Bless,⚖️,Verbatim clone,Offense boost,Bard/Cleric,yes
Bless,1,Enchantment,Bane & Bless,⚖️,Verbatim clone,Offense boost,Cleric/Paladin,yes
Burning Hands,1,Evocation,The Elemental Blast Template,💥,Shared template,Damage,Sorcerer/Wizard,yes
