sim,a,cls_a,b,cls_b
1.000,Growl,Druid,Taunt,Warrior
1.000,Cure Poison,Druid,Cure Poison,Shaman
1.000,Challenging Roar,Druid,Challenging Shout,Warrior
1.000,Feline Grace,Druid,Safe Fall,Rogue
1.000,Bash,Druid,Hammer of Justice,Paladin
1.000,Faerie Fire,Druid,Faerie Fire (Feral),Druid
1.000,Soothe Animal,Druid,Mind Soothe,Priest
1.000,Wrath,Druid,Starfire,Druid
1.000,Moonfire,Druid,Immolate,Warlock
1.000,Healing Touch,Druid,Flash of Light,Paladin
1.000,Healing Touch,Druid,Holy Light,Paladin
1.000,Healing Touch,Druid,Flash Heal,Priest
1.000,Healing Touch,Druid,Healing Wave,Shaman
1.000,Healing Touch,Druid,Lesser Healing Wave,Shaman
1.000,Track Beasts,Hunter,Track Humanoids,Hunter
1.000,Track Beasts,Hunter,Track Undead,Hunter
1.000,Track Beasts,Hunter,Track Elementals,Hunter
1.000,Track Beasts,Hunter,Track Demons,Hunter
1.000,Track Beasts,Hunter,Track Giants,Hunter
1.000,Track Beasts,Hunter,Track Dragonkin,Hunter
1.000,Track Humanoids,Hunter,Track Undead,Hunter
1.000,Track Humanoids,Hunter,Track Elementals,Hunter
1.000,Track Humanoids,Hunter,Track Demons,Hunter
1.000,Track Humanoids,Hunter,Track Giants,Hunter
1.000,Track Humanoids,Hunter,Track Dragonkin,Hunter
1.000,Track Undead,Hunter,Track Elementals,Hunter
1.000,Track Undead,Hunter,Track Demons,Hunter
1.000,Track Undead,Hunter,Track Giants,Hunter
1.000,Track Undead,Hunter,Track Dragonkin,Hunter
1.000,Track Elementals,Hunter,Track Demons,Hunter
1.000,Track Elementals,Hunter,Track Giants,Hunter
1.000,Track Elementals,Hunter,Track Dragonkin,Hunter
1.000,Track Demons,Hunter,Track Giants,Hunter
1.000,Track Demons,Hunter,Track Dragonkin,Hunter
1.000,Track Giants,Hunter,Track Dragonkin,Hunter
1.000,Teleport: Ironforge,Mage,Teleport: Orgrimmar,Mage
1.000,Teleport: Ironforge,Mage,Teleport: Stormwind,Mage
1.000,Teleport: Ironforge,Mage,Teleport: Undercity,Mage
1.000,Teleport: Ironforge,Mage,Teleport: Darnassus,Mage
1.000,Teleport: Ironforge,Mage,Teleport: Thunder Bluff,Mage
1.000,Teleport: Orgrimmar,Mage,Teleport: Stormwind,Mage
1.000,Teleport: Orgrimmar,Mage,Teleport: Undercity,Mage
1.000,Teleport: Orgrimmar,Mage,Teleport: Darnassus,Mage
1.000,Teleport: Orgrimmar,Mage,Teleport: Thunder Bluff,Mage
1.000,Teleport: Stormwind,Mage,Teleport: Undercity,Mage
1.000,Teleport: Stormwind,Mage,Teleport: Darnassus,Mage
1.000,Teleport: Stormwind,Mage,Teleport: Thunder Bluff,Mage
1.000,Teleport: Undercity,Mage,Teleport: Darnassus,Mage
1.000,Teleport: Undercity,Mage,Teleport: Thunder Bluff,Mage
1.000,Conjure Mana Agate,Mage,Conjure Mana Jade,Mage
1.000,Conjure Mana Agate,Mage,Conjure Mana Citrine,Mage
1.000,Conjure Mana Agate,Mage,Conjure Mana Ruby,Mage
1.000,Teleport: Darnassus,Mage,Teleport: Thunder Bluff,Mage
1.000,Conjure Mana Jade,Mage,Conjure Mana Citrine,Mage
1.000,Conjure Mana Jade,Mage,Conjure Mana Ruby,Mage
1.000,Portal: Ironforge,Mage,Portal: Orgrimmar,Mage
1.000,Portal: Ironforge,Mage,Portal: Stormwind,Mage
1.000,Portal: Ironforge,Mage,Portal: Undercity,Mage
1.000,Portal: Ironforge,Mage,Portal: Darnassus,Mage
1.000,Portal: Ironforge,Mage,Portal: Thunder Bluff,Mage
1.000,Portal: Orgrimmar,Mage,Portal: Stormwind,Mage
1.000,Portal: Orgrimmar,Mage,Portal: Undercity,Mage
1.000,Portal: Orgrimmar,Mage,Portal: Darnassus,Mage
1.000,Portal: Orgrimmar,Mage,Portal: Thunder Bluff,Mage
1.000,Portal: Stormwind,Mage,Portal: Undercity,Mage
1.000,Portal: Stormwind,Mage,Portal: Darnassus,Mage
1.000,Portal: Stormwind,Mage,Portal: Thunder Bluff,Mage
1.000,Portal: Undercity,Mage,Portal: Darnassus,Mage
1.000,Portal: Undercity,Mage,Portal: Thunder Bluff,Mage
1.000,Conjure Mana Citrine,Mage,Conjure Mana Ruby,Mage
1.000,Portal: Darnassus,Mage,Portal: Thunder Bluff,Mage
1.000,Fire Ward,Mage,Frost Ward,Mage
1.000,Fire Ward,Mage,Shadow Ward,Warlock
1.000,Frost Ward,Mage,Shadow Ward,Warlock
1.000,Sense Undead,Paladin,Sense Demons,Warlock
1.000,Shadow Resistance Aura,Paladin,Frost Resistance Aura,Paladin
1.000,Shadow Resistance Aura,Paladin,Fire Resistance Aura,Paladin
1.000,Frost Resistance Aura,Paladin,Fire Resistance Aura,Paladin
1.000,Flash of Light,Paladin,Holy Light,Paladin
1.000,Flash of Light,Paladin,Flash Heal,Priest
1.000,Flash of Light,Paladin,Healing Wave,Shaman
1.000,Flash of Light,Paladin,Lesser Healing Wave,Shaman
1.000,Holy Light,Paladin,Flash Heal,Priest
1.000,Holy Light,Paladin,Healing Wave,Shaman
1.000,Holy Light,Paladin,Lesser Healing Wave,Shaman
1.000,Redemption,Paladin,Resurrection,Priest
1.000,Lesser Heal,Priest,Heal,Priest
1.000,Flash Heal,Priest,Healing Wave,Shaman
1.000,Flash Heal,Priest,Lesser Healing Wave,Shaman
1.000,Divine Spirit,Priest,Power Word: Fortitude,Priest
1.000,Prayer of Fortitude,Priest,Prayer of Spirit,Priest
1.000,Mind-numbing Poison,Rogue,Mind-numbing Poison II,Rogue
1.000,Mind-numbing Poison,Rogue,Mind-numbing Poison III,Rogue
1.000,Mind-numbing Poison II,Rogue,Mind-numbing Poison III,Rogue
1.000,Water Breathing,Shaman,Unending Breath,Warlock
1.000,Fire Resistance Totem,Shaman,Nature Resistance Totem,Shaman
1.000,Healing Wave,Shaman,Lesser Healing Wave,Shaman
1.000,Summon Voidwalker,Warlock,Summon Succubus,Warlock
1.000,Summon Voidwalker,Warlock,Summon Felhunter,Warlock
1.000,Summon Succubus,Warlock,Summon Felhunter,Warlock
1.000,Curse of Shadow,Warlock,Curse of the Elements,Warlock
0.989,Bear Form,Druid,Dire Bear Form,Druid
0.989,Create Soulstone (Minor),Warlock,Create Soulstone,Warlock
0.989,Create Soulstone (Lesser),Warlock,Create Soulstone,Warlock
0.989,Create Soulstone,Warlock,Create Soulstone (Greater),Warlock
0.989,Create Soulstone,Warlock,Create Soulstone (Major),Warlock
0.980,Create Firestone (Lesser),Warlock,Create Firestone,Warlock
0.980,Create Firestone,Warlock,Create Firestone (Greater),Warlock
0.980,Create Firestone,Warlock,Create Firestone (Major),Warlock
0.977,Create Soulstone (Minor),Warlock,Create Soulstone (Lesser),Warlock
0.977,Create Soulstone (Minor),Warlock,Create Soulstone (Greater),Warlock
0.977,Create Soulstone (Minor),Warlock,Create Soulstone (Major),Warlock
0.977,Create Soulstone (Lesser),Warlock,Create Soulstone (Greater),Warlock
0.977,Create Soulstone (Lesser),Warlock,Create Soulstone (Major),Warlock
0.977,Create Soulstone (Greater),Warlock,Create Soulstone (Major),Warlock
0.977,Create Healthstone (Minor),Warlock,Create Healthstone,Warlock
0.977,Create Healthstone (Lesser),Warlock,Create Healthstone,Warlock
0.977,Create Healthstone,Warlock,Create Healthstone (Greater),Warlock
0.977,Create Healthstone,Warlock,Create Healthstone (Major),Warlock
0.971,Create Spellstone,Warlock,Create Spellstone (Greater),Warlock
0.971,Create Spellstone,Warlock,Create Spellstone (Major),Warlock
0.965,Frost Armor,Mage,Ice Armor,Mage
0.962,Polymorph,Mage,Polymorph: Cow,Mage
0.962,Create Firestone (Lesser),Warlock,Create Firestone (Greater),Warlock
