ability,classes,level,school,ranks,family,tier,purpose
Auto Shot,Hunter,1,Physical,1,,,Damage
Battle Stance,Warrior,1,Physical,1,,,Role shift
Cobra Reflexes,Hunter,1,Physical,1,,,Damage
Pick Lock,Rogue,1,Physical,1,,,Utility & world
Summon Imp,Warlock,1,Shadow,1,The Menagerie,Shared template,Creating entities
Track Beasts,Hunter,1,Physical,1,The Tracking Dial,Verbatim clone,Information
Vampiric Embrace,Priest,1,Shadow,1,,,Damage
Aspect of the Monkey,Hunter,4,Nature,1,The Aspect Dial,Shared template,Role shift
Ice Block,Mage,4,Frost,1,,,Disables
Judgement,Paladin,4,Holy,1,,,Damage
Pick Pocket,Rogue,4,Physical,1,,,Utility & world
Earthbind Totem,Shaman,6,Nature,1,The Totem Foundry,Shared template,Creating entities
Mangle,Druid,6,Physical,1,,,Disables
Concussive Shot,Hunter,8,Arcane,1,,,Disables
Evasion,Rogue,8,Physical,1,,,Defense boost
Purify,Paladin,8,Holy,1,The Cleanse Counter,Verbatim clone,Negation
Bear Form,Druid,10,Physical,1,,,Role shift
Beast Training,Hunter,10,Physical,1,,,Companion upkeep
Bloodrage,Warrior,10,Physical,1,,,Provisioning
Call Pet,Hunter,10,Physical,1,The Menagerie,Shared template,Companion upkeep
Chilled,Mage,10,Frost,3,,,Disables
Create Healthstone (Minor),Warlock,10,Shadow,1,The Conjured Commissary,Verbatim clone,Provisioning
Defensive Stance,Warrior,10,Physical,1,,,Role shift
Demon Skin,Warlock,10,Shadow,2,The Protection Rack,Shared template,Defense boost
Dismiss Pet,Hunter,10,Physical,1,The Menagerie,Shared template,Companion upkeep
Feed Pet,Hunter,10,Physical,1,,,Companion upkeep
Growl,Druid,10,Physical,1,The Druid Costume Shop,Verbatim clone,Threat control
Lesser Heal,Priest,10,Holy,3,"One Heal, Nine Names",Verbatim clone,Healing & revival
Revive Pet,Hunter,10,Nature,1,The Menagerie,Shared template,Companion upkeep
Summon Voidwalker,Warlock,10,Shadow,1,The Menagerie,Shared template,Creating entities
Tame Beast,Hunter,10,Nature,1,The Menagerie,Shared template,Companion upkeep
Taunt,Warrior,10,Physical,1,The Druid Costume Shop,Verbatim clone,Threat control
Teleport: Moonglade,Druid,10,Arcane,1,,,Mobility
Track Humanoids,Hunter,10,Physical,1,The Tracking Dial,Verbatim clone,Information
Enrage,Druid,12,Physical,1,,,Provisioning
Slow Fall,Mage,12,Arcane,1,,,Mobility
Cure Disease,Priest,14,Holy,1,The Cleanse Counter,Verbatim clone,Negation
Cure Poison,Druid,14,Nature,1,The Cleanse Counter,Verbatim clone,Negation
Eagle Eye,Hunter,14,Arcane,1,,,Information
Eyes of the Beast,Hunter,14,Nature,1,The Menagerie,Shared template,Companion upkeep
Aquatic Form,Druid,16,Physical,1,,,Mobility
Aquatic Form (Passive),Druid,16,Nature,1,,,Role shift
Cure Poison,Shaman,16,Nature,1,The Cleanse Counter,Verbatim clone,Negation
Detect Magic,Mage,16,Arcane,1,,,Information
Righteous Fury,Paladin,16,Holy,1,,,Threat control
Shield Block,Warrior,16,Physical,1,,,Defense boost
Unending Breath,Warlock,16,Shadow,1,,,Utility & world
Blessing of Freedom,Paladin,18,Holy,1,The Status Boost Rack,Shared template,Utility & world
Create Soulstone (Minor),Warlock,18,Shadow,1,The Resurrection Union,Verbatim clone,Healing & revival
Disarm,Warrior,18,Physical,1,,,Disables
Divine Protection,Paladin,18,Holy,2,,,Disables
Remove Lesser Curse,Mage,18,Arcane,1,The Cleanse Counter,Verbatim clone,Negation
Track Undead,Hunter,18,Physical,1,The Tracking Dial,Verbatim clone,Information
Tremor Totem,Shaman,18,Nature,1,The Totem Foundry,Shared template,Creating entities
Aspect of the Cheetah,Hunter,20,Nature,1,The Aspect Dial,Shared template,Role shift
Blessing of Kings,Paladin,20,Holy,1,The Status Boost Rack,Shared template,Utility & world
Blink,Mage,20,Arcane,1,,,Mobility
Cat Form,Druid,20,Physical,1,,,Role shift
Fear Ward,Priest,20,Holy,1,,,Disables
Frost Armor,Mage,20,Frost,3,The Protection Rack,Shared template,Defense boost
Ghost Wolf,Shaman,20,Nature,1,,,Mobility
Poisons,Rogue,20,Physical,1,,,Utility & world
Repentance,Paladin,20,Holy,1,,,Disables
Retaliation,Warrior,20,Physical,1,,,Utility & world
Ritual of Summoning,Warlock,20,Shadow,1,The Menagerie,Shared template,Mobility
Sense Undead,Paladin,20,Holy,1,The Tracking Dial,Verbatim clone,Information
Summon Incubus,Warlock,20,Shadow,1,,,Creating entities
Summon Succubus,Warlock,20,Shadow,1,The Menagerie,Shared template,Creating entities
Teleport: Ironforge,Mage,20,Arcane,1,The Hearth Network,Verbatim clone,Mobility
Teleport: Orgrimmar,Mage,20,Arcane,1,The Hearth Network,Verbatim clone,Mobility
Teleport: Stormwind,Mage,20,Arcane,1,The Hearth Network,Verbatim clone,Mobility
Teleport: Undercity,Mage,20,Arcane,1,The Hearth Network,Verbatim clone,Mobility
Concentration Aura,Paladin,22,Holy,1,The Status Boost Rack,Shared template,Negation
Create Healthstone (Lesser),Warlock,22,Shadow,1,The Conjured Commissary,Verbatim clone,Provisioning
Cure Disease,Shaman,22,Nature,1,The Cleanse Counter,Verbatim clone,Negation
Distract,Rogue,22,Physical,1,,,Deception & stealth
Eye of Kilrogg,Warlock,22,Shadow,1,The Menagerie,Shared template,Information
Intimidating Shout,Warrior,22,Physical,1,The Fear Franchise,Shared template,Disables
Poison Cleansing Totem,Shaman,22,Nature,1,The Totem Foundry,Shared template,Creating entities
Seal of Justice,Paladin,22,Holy,1,The Seal Press,Shared template,Offense boost
Water Breathing,Shaman,22,Nature,1,,,Utility & world
Beast Lore,Hunter,24,Nature,1,,,Companion upkeep
Counterspell,Mage,24,Arcane,1,The Interrupt Union,Verbatim clone,Negation
Detect Traps,Rogue,24,Physical,1,,,Information
Mind-numbing Poison,Rogue,24,Physical,1,The Numbered Vials,Verbatim clone,Degradation
Remove Curse,Druid,24,Arcane,1,The Cleanse Counter,Verbatim clone,Negation
Sense Demons,Warlock,24,Shadow,1,The Tracking Dial,Verbatim clone,Information
Track Hidden,Hunter,24,Physical,1,The Tracking Dial,Verbatim clone,Information
Abolish Poison,Druid,26,Nature,1,The Cleanse Counter,Verbatim clone,Negation
Blessing of Salvation,Paladin,26,Holy,1,The Status Boost Rack,Shared template,Threat control
Challenging Shout,Warrior,26,Physical,1,The Druid Costume Shop,Verbatim clone,Threat control
Cheap Shot,Rogue,26,Physical,1,,,Disables
Detect Lesser Invisibility,Warlock,26,Shadow,1,,,Information
Far Sight,Shaman,26,Nature,1,,,Information
Rapid Fire,Hunter,26,Arcane,1,,,Utility & world
Track Elementals,Hunter,26,Physical,1,The Tracking Dial,Verbatim clone,Information
Challenging Roar,Druid,28,Physical,1,The Druid Costume Shop,Verbatim clone,Threat control
Conjure Mana Agate,Mage,28,Arcane,1,The Conjured Commissary,Verbatim clone,Provisioning
Create Firestone (Lesser),Warlock,28,Fire,1,The Conjured Commissary,Verbatim clone,Provisioning
Frost Trap,Hunter,28,Frost,1,,,Disables
Shield Wall,Warrior,28,Physical,1,,,Defense boost
Water Walking,Shaman,28,Nature,1,,,Mobility
Aspect of the Beast,Hunter,30,Nature,1,The Aspect Dial,Shared template,Role shift
Astral Recall,Shaman,30,Nature,1,,,Mobility
Berserker Stance,Warrior,30,Physical,1,,,Role shift
Create Soulstone (Lesser),Warlock,30,Shadow,1,The Resurrection Union,Verbatim clone,Healing & revival
Disarm Trap,Rogue,30,Physical,1,,,Utility & world
Divine Intervention,Paladin,30,Holy,1,,,Damage
Feign Death,Hunter,30,Physical,1,,,Threat control
Grounding Totem,Shaman,30,Nature,1,The Totem Foundry,Shared template,Creating entities
Reincarnation,Shaman,30,Nature,1,,,Healing & revival
Sanctity Aura,Paladin,30,Holy,1,The Status Boost Rack,Shared template,Damage
Summon Felhunter,Warlock,30,Shadow,1,The Menagerie,Shared template,Creating entities
Teleport: Darnassus,Mage,30,Arcane,1,The Hearth Network,Verbatim clone,Mobility
Teleport: Thunder Bluff,Mage,30,Arcane,1,The Hearth Network,Verbatim clone,Mobility
Travel Form,Druid,30,Physical,1,,,Mobility
Abolish Disease,Priest,32,Holy,1,The Cleanse Counter,Verbatim clone,Negation
Berserker Rage,Warrior,32,Physical,1,,,Disables
Flare,Hunter,32,Arcane,1,,,Deception & stealth
Purge,Shaman,32,Nature,2,,,Negation
Track Demons,Hunter,32,Physical,1,The Tracking Dial,Verbatim clone,Information
Track Humanoids,Druid,32,Physical,1,The Tracking Dial,Verbatim clone,Information
Blind,Rogue,34,Nature,1,,,Disables
Create Healthstone,Warlock,34,Shadow,1,The Conjured Commissary,Verbatim clone,Provisioning
Heal,Priest,34,Holy,4,"One Heal, Nine Names",Verbatim clone,Healing & revival
Levitate,Priest,34,Holy,1,,,Disables
Sentry Totem,Shaman,34,Nature,1,,,Creating entities
Create Firestone,Warlock,36,Fire,1,The Conjured Commissary,Verbatim clone,Provisioning
